alias,title,id,name,price,rating,review_count,distance,coordinates_latitude,coordinates_longitude,location_address1,city
french,French,Z4_MkMLc_CA4kkAYOj5EzA,Pastis Miami,No especificado,4.4,322,10156.522443552038,25.8011472,-80.2019445,380 NW 26th St,Miami
desserts,Desserts,kgqUG84wRDUvMxlEwBhaMA,The Collab,No especificado,4.4,14,4545.097319584227,25.712861631435565,-80.2785407,1350 South Dixie Hwy,Miami
newamerican,New American,kgqUG84wRDUvMxlEwBhaMA,The Collab,No especificado,4.4,14,4545.097319584227,25.712861631435565,-80.2785407,1350 South Dixie Hwy,Miami
cocktailbars,Cocktail Bars,kgqUG84wRDUvMxlEwBhaMA,The Collab,No especificado,4.4,14,4545.097319584227,25.712861631435565,-80.2785407,1350 South Dixie Hwy,Miami
bbq,Barbeque,7nCH2ojnZh7qAfB0QPb2-w,Slab Daddy Barbecue,No especificado,4.4,30,9241.883552839137,25.795484204546028,-80.2088363,795 NW 20th St,Miami
steak,Steakhouses,MxW98kWX6_gBEsB9u8AR9A,Texas Roadhouse,Medio,4.0,720,5731.621981138362,25.7696468686623,-80.3421527917608,9161 W Flagler St,Miami
bbq,Barbeque,MxW98kWX6_gBEsB9u8AR9A,Texas Roadhouse,Medio,4.0,720,5731.621981138362,25.7696468686623,-80.3421527917608,9161 W Flagler St,Miami
tradamerican,American,MxW98kWX6_gBEsB9u8AR9A,Texas Roadhouse,Medio,4.0,720,5731.621981138362,25.7696468686623,-80.3421527917608,9161 W Flagler St,Miami
tradamerican,American,g3U7lz6gUvmQ1nE4yQnvDA,The Thousand Sunny,Medio,4.4,81,8279.717199165318,25.6822568,-80.3140447,9545 S Dixie Hwy,Miami
mediterranean,Mediterranean,2SJpb38UqPLwfMukVG8NKg,The Mediterranean Kitchen,No especificado,4.3,8,5036.210125431076,25.796845,-80.276198,2100 NW 42nd Ave,Miami
portuguese,Portuguese,-vIOvnJhvEfWfUZeobqGqQ,Majestic Portuguese Bakehouse,Medio,4.3,177,3963.8169545857595,25.749701,-80.2486254,3340 Coral Way,Miami
bakeries,Bakeries,-vIOvnJhvEfWfUZeobqGqQ,Majestic Portuguese Bakehouse,Medio,4.3,177,3963.8169545857595,25.749701,-80.2486254,3340 Coral Way,Miami
desserts,Desserts,-vIOvnJhvEfWfUZeobqGqQ,Majestic Portuguese Bakehouse,Medio,4.3,177,3963.8169545857595,25.749701,-80.2486254,3340 Coral Way,Miami
mediterranean,Mediterranean,AP7QE5AA7yrqRrrekcI6ug,LIRA Beirut eatery,No especificado,4.7,146,10103.167265788574,25.795729,-80.199072,2000 NW 2nd Ave,Miami
lebanese,Lebanese,AP7QE5AA7yrqRrrekcI6ug,LIRA Beirut eatery,No especificado,4.7,146,10103.167265788574,25.795729,-80.199072,2000 NW 2nd Ave,Miami
mediterranean,Mediterranean,nvwXcXSSNoV7FDWvYi_OKA,Mandolin Aegean Bistro,Medio,4.3,2504,11935.065944247419,25.815960646211337,-80.19164751387174,4312 NE 2nd Ave,Miami
greek,Greek,nvwXcXSSNoV7FDWvYi_OKA,Mandolin Aegean Bistro,Medio,4.3,2504,11935.065944247419,25.815960646211337,-80.19164751387174,4312 NE 2nd Ave,Miami
turkish,Turkish,nvwXcXSSNoV7FDWvYi_OKA,Mandolin Aegean Bistro,Medio,4.3,2504,11935.065944247419,25.815960646211337,-80.19164751387174,4312 NE 2nd Ave,Miami
sushi,Sushi Bars,srvNzBtnyKd4pSENmGGR7Q,SHINGO,No especificado,4.8,35,3147.3568008802363,25.75304316263367,-80.25662542575145,112 Alhambra Cir,Miami
japanese,Japanese,srvNzBtnyKd4pSENmGGR7Q,SHINGO,No especificado,4.8,35,3147.3568008802363,25.75304316263367,-80.25662542575145,112 Alhambra Cir,Miami
